dataset_key,dataset_label,delay_order,K,tau,theta,sse
sine,Sine Wave Test for Heater 1,2,0.5,153.33333333333334,14.166666666666668,126664.77726573253
sine,Sine Wave Test for Heater 1,2,0.5,153.33333333333334,15.0,126459.74356120793
sine,Sine Wave Test for Heater 1,2,0.5,153.33333333333334,15.833333333333334,126279.04419689719
sine,Sine Wave Test for Heater 1,2,0.5,153.33333333333334,16.666666666666668,126122.46039033102
sine,Sine Wave Test for Heater 1,2,0.5,153.33333333333334,17.5,125989.74169893374
sine,Sine Wave Test for Heater 1,2,0.5,153.33333333333334,18.333333333333336,125880.60723481979
sine,Sine Wave Test for Heater 1,2,0.5,153.33333333333334,19.166666666666668,125794.74694102677
sine,Sine Wave Test for Heater 1,2,0.5,153.33333333333334,20.0,125731.82292286062
sine,Sine Wave Test for Heater 1,2,0.5,153.33333333333334,20.833333333333336,125691.4708277605
sine,Sine Wave Test for Heater 1,2,0.5,153.33333333333334,21.666666666666668,125673.30126698717
sine,Sine Wave Test for Heater 1,2,0.5,153.33333333333334,22.5,125676.90127235695
sine,Sine Wave Test for Heater 1,2,0.5,153.33333333333334,23.333333333333336,125701.83578126242
sine,Sine Wave Test for Heater 1,2,0.5,153.33333333333334,24.166666666666668,125747.64914329936
sine,Sine Wave Test for Heater 1,2,0.5,153.33333333333334,25.0,125813.86664190251
sine,Sine Wave Test for Heater 1,2,0.5,153.33333333333334,25.833333333333336,125899.9960245887
sine,Sine Wave Test for Heater 1,2,0.5,153.33333333333334,26.666666666666668,126005.52903555783
sine,Sine Wave Test for Heater 1,2,0.5,153.33333333333334,27.5,126129.94294467055
sine,Sine Wave Test for Heater 1,2,0.5,153.33333333333334,28.333333333333336,126272.70206703055
sine,Sine Wave Test for Heater 1,2,0.5,153.33333333333334,29.166666666666668,126433.25926771936
sine,Sine Wave Test for Heater 1,2,0.5,153.33333333333334,30.0,126611.05744650356
sine,Sine Wave Test for Heater 1,2,0.5,156.66666666666669,10.0,129898.76649411654
sine,Sine Wave Test for Heater 1,2,0.5,156.66666666666669,10.833333333333334,129584.58613157281
sine,Sine Wave Test for Heater 1,2,0.5,156.66666666666669,11.666666666666666,129294.99087571792
sine,Sine Wave Test for Heater 1,2,0.5,156.66666666666669,12.5,129029.9265697702
sine,Sine Wave Test for Heater 1,2,0.5,156.66666666666669,13.333333333333334,128789.30312676169
sine,Sine Wave Test for Heater 1,2,0.5,156.66666666666669,14.166666666666668,128572.99536618596
sine,Sine Wave Test for Heater 1,2,0.5,156.66666666666669,15.0,128380.84393394273
sine,Sine Wave Test for Heater 1,2,0.5,156.66666666666669,15.833333333333334,128212.65630212937
sine,Sine Wave Test for Heater 1,2,0.5,156.66666666666669,16.666666666666668,128068.20784449096
sine,Sine Wave Test for Heater 1,2,0.5,156.66666666666669,17.5,127947.2429826435
sine,Sine Wave Test for Heater 1,2,0.5,156.66666666666669,18.333333333333336,127849.47639757855
sine,Sine Wave Test for Heater 1,2,0.5,156.66666666666669,19.166666666666668,127774.5943005103
sine,Sine Wave Test for Heater 1,2,0.5,156.66666666666669,20.0,127722.25575678989
sine,Sine Wave Test for Heater 1,2,0.5,156.66666666666669,20.833333333333336,127692.09405638019
sine,Sine Wave Test for Heater 1,2,0.5,156.66666666666669,21.666666666666668,127683.71812427796
sine,Sine Wave Test for Heater 1,2,0.5,156.66666666666669,22.5,127696.71396421117
sine,Sine Wave Test for Heater 1,2,0.5,156.66666666666669,23.333333333333336,127730.64612894341
sine,Sine Wave Test for Heater 1,2,0.5,156.66666666666669,24.166666666666668,127785.05921062495
